epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1316.56,0.33463,0.26292,0.83053,0.99413,0.9469,0.95295,0.9165,0.26354,0.23756,0.80114,0.000297125,0.000297125,0.000297125
79,1326.42,0.34125,0.2616,0.83837,0.99381,0.94567,0.95701,0.92436,0.26631,0.23242,0.8005,0.00028475,0.00028475,0.00028475
80,1336.67,0.33499,0.26605,0.8384,0.99315,0.9469,0.95693,0.92369,0.26387,0.22673,0.79903,0.000272375,0.000272375,0.000272375
81,1347.45,0.33179,0.2534,0.83222,0.9944,0.9469,0.95887,0.9303,0.25345,0.22317,0.79567,0.00026,0.00026,0.00026
82,1359.09,0.33522,0.26027,0.83163,0.9881,0.9458,0.95492,0.92475,0.25267,0.22587,0.79712,0.000247625,0.000247625,0.000247625
83,1371.22,0.32727,0.25039,0.82685,0.98824,0.9469,0.96194,0.93625,0.24702,0.22374,0.79327,0.00023525,0.00023525,0.00023525
84,1384.32,0.32658,0.25264,0.83147,0.98777,0.9469,0.95951,0.93438,0.24614,0.22913,0.79116,0.000222875,0.000222875,0.000222875
85,1397.33,0.32195,0.24802,0.82935,0.98945,0.94707,0.95731,0.93071,0.24454,0.22343,0.79093,0.0002105,0.0002105,0.0002105
86,1410.74,0.32858,0.25498,0.83427,0.99564,0.9459,0.95531,0.93141,0.24588,0.22075,0.7917,0.000198125,0.000198125,0.000198125
87,1423.98,0.32058,0.24742,0.82703,0.99378,0.94684,0.9589,0.93362,0.24669,0.21606,0.79079,0.00018575,0.00018575,0.00018575
88,1438.01,0.31649,0.2388,0.82418,0.99151,0.9469,0.95503,0.92743,0.24599,0.21827,0.79145,0.000173375,0.000173375,0.000173375
89,1452.8,0.31922,0.24397,0.82863,0.99442,0.94733,0.95863,0.9342,0.23699,0.21768,0.79117,0.000161,0.000161,0.000161
90,1467.86,0.31393,0.24919,0.82832,0.99395,0.94714,0.95643,0.93007,0.23757,0.2126,0.79089,0.000148625,0.000148625,0.000148625
91,1483.34,0.23516,0.2228,0.78459,0.99139,0.94712,0.95526,0.9292,0.24269,0.22107,0.7926,0.00013625,0.00013625,0.00013625
92,1497.77,0.2313,0.20322,0.78332,0.99238,0.94764,0.95328,0.9315,0.24244,0.22354,0.79158,0.000123875,0.000123875,0.000123875
93,1513.38,0.23405,0.19835,0.77313,0.99387,0.9469,0.9542,0.92998,0.2439,0.21726,0.79177,0.0001115,0.0001115,0.0001115
